  0.000000   0.000000   5.000000	  0.040074   0.026929   4.999983	  0.040074   0.026929   4.499985	  0.000000   0.000000   4.500000	
  0.040074   0.026929   4.999983	  0.089665   0.037473   5.000038	  0.089665   0.037473   4.500034	  0.040074   0.026929   4.499985	
  0.089665   0.037473   5.000038	  0.140011   0.043656   4.999989	  0.140011   0.043656   4.499990	  0.089665   0.037473   4.500034	
  0.140011   0.043656   4.999989	  0.190606   0.047309   4.999983	  0.190606   0.047309   4.499984	  0.140011   0.043656   4.499990	
  0.190606   0.047309   4.999983	  0.241291   0.049273   5.000006	  0.241291   0.049273   4.500005	  0.190606   0.047309   4.499984	
  0.241291   0.049273   5.000006	  0.292015   0.049985   5.000006	  0.292015   0.049985   4.500005	  0.241291   0.049273   4.500005	
  0.292015   0.049985   5.000006	  0.342741   0.049694   4.999994	  0.342741   0.049694   4.499995	  0.292015   0.049985   4.500005	
  0.342741   0.049694   4.999994	  0.393453   0.048553   4.999994	  0.393453   0.048553   4.499995	  0.342741   0.049694   4.499995	
  0.393453   0.048553   4.999994	  0.444144   0.046687   4.999990	  0.444144   0.046687   4.499990	  0.393453   0.048553   4.499995	
  0.444144   0.046687   4.999990	  0.494812   0.044270   4.999990	  0.494812   0.044270   4.499990	  0.444144   0.046687   4.499990	
  0.494812   0.044270   4.999990	  0.545463   0.041470   5.000005	  0.545463   0.041470   4.500004	  0.494812   0.044270   4.499990	
  0.545463   0.041470   5.000005	  0.596088   0.038293   5.000005	  0.596088   0.038293   4.500004	  0.545463   0.041470   4.500004	
  0.596088   0.038293   5.000005	  0.646665   0.034708   4.999881	  0.646665   0.034708   4.499893	  0.596088   0.038293   4.500004	
  0.646665   0.034708   4.999881	  0.697232   0.030727   4.999881	  0.697232   0.030727   4.499893	  0.646665   0.034708   4.499893	
  0.697232   0.030727   4.999881	  0.747801   0.026413   5.000297	  0.747801   0.026413   4.500267	  0.697232   0.030727   4.499893	
  0.747801   0.026413   5.000297	  0.798332   0.021997   5.000297	  0.798332   0.021997   4.500267	  0.747801   0.026413   4.500267	
  0.798332   0.021997   5.000297	  0.848881   0.017603   4.999885	  0.848881   0.017603   4.499896	  0.798332   0.021997   4.500267	
